no;kategori_id ;nama;nama _item;stock;harga_beli;harga_jual;promo_price;brand;model;url_shopee;status;error_message;description;specification;image;semua_gambar
1;3;Charger Robot RTK4S 5V 1A;BATOK ROBOT RTK4S;10;;22000;19000;Robot;RTK4S;;completed;;"Charger Robot RTK4S 5V 1A adalah aksesoris pengisi daya yang dirancang untuk memenuhi kebutuhan pengisian perangkat elektronik Anda. Produk dari brand Robot ini menghadirkan solusi pengisian daya yang praktis untuk penggunaan sehari-hari. Dengan spesifikasi output standar, charger ini cocok digunakan untuk berbagai perangkat yang membutuhkan daya rendah.

Charger dengan output 5V 1A merupakan jenis pengisi daya standar yang umum digunakan untuk perangkat elektronik seperti smartphone lawas, power bank, speaker portabel, atau perangkat IoT. Produk ini berfungsi untuk mengalirkan listrik dari stopkontak ke perangkat Anda melalui kabel USB. Penggunaannya sangat sederhana, cukup colokkan ke sumber listrik dan hubungkan ke perangkat yang ingin diisi daya.

Menggunakan charger ini memberikan kemudahan dalam mengisi daya perangkat Anda tanpa perlu khawatir tentang kompatibilitas dasar. Produk ini membantu menjaga perangkat Anda tetap menyala dan siap digunakan kapan saja. Dengan desain yang ringkas, charger ini mudah dibawa bepergian dan tidak memakan banyak tempat.";"Produk : Charger Robot RTK4S 5V 1A
Merek : Robot
Kondisi : Baru
Kategori : Charger / Adaptor

ISI PAKET

* 1 x Charger Robot RTK4S 5V 1A

KEUNGGULAN

* Output 5V 1A yang stabil untuk pengisian daya perangkat standar
* Desain ringkas dan portabel, mudah dibawa kemana saja
* Kompatibel dengan berbagai perangkat yang menggunakan port USB standar";;
2;3;Charger Robot RTK8S;BATOK ROBOT RTK8S;10;;33000;29000;Robot;RTK8S;;completed;;"Charger Robot RTK8S adalah perangkat pengisi daya yang dirancang untuk mendukung kebutuhan pengoperasian robot atau perangkat elektronik sejenis. Produk dari brand Robot ini menawarkan solusi pengisian daya yang praktis untuk menjaga perangkat Anda tetap siap digunakan.

Charger ini berfungsi sebagai sumber daya eksternal untuk mengisi ulang baterai pada robot atau perangkat yang kompatibel. Dengan penggunaan yang tepat, charger ini dapat membantu memastikan perangkat Anda memiliki daya yang cukup untuk beroperasi sesuai fungsinya, baik untuk keperluan rumah tangga, hiburan, maupun edukasi.

Menggunakan Charger Robot RTK8S memberikan kemudahan dalam proses pengisian daya tanpa perlu repot mencari sumber listrik yang cocok. Produk ini membantu menjaga ketersediaan daya perangkat Anda, sehingga Anda dapat menggunakannya kapan pun dibutuhkan.";"Produk : Charger Robot RTK8S
Merek : Robot
Kondisi : Baru
Kategori : Charger / Adaptor

ISI PAKET

* 1 x Charger Robot RTK8S

KEUNGGULAN

* Desain ringkas dan mudah dibawa
* Kompatibel dengan berbagai perangkat robot
* Proses pengisian daya yang stabil dan aman";;
3;3;Car Charger RTC09;CAR CHARGER RTC09;1;;66000;59000;;RTC09;;completed;;"Car Charger RTC09 adalah aksesoris pengisi daya yang dirancang khusus untuk penggunaan di dalam kendaraan. Produk ini hadir sebagai solusi praktis untuk menjaga perangkat elektronik Anda tetap aktif selama perjalanan. Dengan desain yang ringkas, alat ini mudah dipasang pada port charger mobil Anda.

Car charger atau pengisi daya mobil berfungsi untuk mengubah daya listrik dari soket pemantik rokok atau port USB kendaraan menjadi daya yang sesuai untuk mengisi baterai perangkat seperti ponsel, tablet, atau GPS. Produk ini sangat berguna saat Anda bepergian jauh atau menggunakan fitur navigasi yang menguras baterai perangkat. Kehadirannya memastikan perangkat Anda tidak kehabisan daya saat dibutuhkan.

Dengan menggunakan Car Charger RTC09, Anda tidak perlu khawatir kehabisan baterai perangkat di tengah perjalanan. Anda dapat mengisi daya ponsel atau perangkat lain dengan mudah dan efisien saat berkendara. Hal ini tentu memberikan kenyamanan dan ketenangan, terutama untuk perjalanan jarak jauh atau mobilitas tinggi.";"Produk : Car Charger RTC09
Merek : Generic
Kondisi : Baru
Kategori : Aksesoris Mobil / Pengisi Daya Mobil

ISI PAKET

* 1 x Car Charger RTC09

KEUNGGULAN

* Desain ringkas dan mudah dibawa kemana-mana
* Kompatibel dengan berbagai perangkat elektronik standar
* Instalasi yang sederhana, cukup colokkan ke port mobil";;
4;7;Headset Kabel JB11;HF JB 11;3;;19000;17000;;JB11;;completed;;"Headset Kabel JB11 adalah perangkat audio praktis yang dirancang untuk menemani aktivitas mendengarkan musik, menonton video, atau melakukan panggilan suara. Dengan desain yang simpel dan fungsional, headset ini menawarkan solusi audio yang mudah digunakan kapan saja. Produk ini hadir sebagai pilihan ekonomis bagi Anda yang membutuhkan perangkat audio dasar untuk penggunaan sehari-hari.

Headset kabel merupakan jenis perangkat audio yang menggunakan koneksi fisik untuk mentransmisikan suara dari perangkat pemutar. Produk ini umumnya dilengkapi dengan mikrofon terintegrasi yang memungkinkan pengguna untuk melakukan komunikasi suara secara hands-free. Headset jenis ini sangat cocok digunakan untuk aktivitas seperti mendengarkan musik saat bepergian, mengikuti kelas online, atau melakukan panggilan kerja tanpa perlu mengisi daya baterai.

Dengan menggunakan headset kabel, Anda dapat menikmati kemudahan plug-and-play tanpa perlu khawatir tentang koneksi Bluetooth atau daya baterai. Kehadiran mikrofon terintegrasi memudahkan Anda untuk beralih antara mendengarkan audio dan melakukan panggilan dengan cepat. Desainnya yang ringan dan portabel membuatnya nyaman dibawa ke mana saja, cocok untuk menemani perjalanan atau aktivitas harian Anda.";"Produk : Headset Kabel JB11
Merek : Generic
Kondisi : Baru
Kategori : Aksesoris Audio / Earphone Kabel

ISI PAKET

* 1 x Headset Kabel JB11

KEUNGGULAN

* Koneksi kabel stabil tanpa gangguan sinyal
* Dilengkapi mikrofon untuk panggilan suara
* Desain ringan dan portabel untuk mobilitas tinggi";;
5;7;Headset Kabel Extra Bass (Generic);HF JBL EXTRA BASS;1;;49000;45000;;;;completed;;"Headset Kabel Extra Bass (Generic) adalah pilihan praktis bagi Anda yang menginginkan pengalaman audio lebih bertenaga tanpa perlu menguras kantong. Dengan fokus pada reproduksi suara bass yang lebih dalam, headset ini dirancang untuk menemani aktivitas mendengarkan musik, menonton film, atau bermain game sehari-hari. Sebagai produk generic, headset ini menawarkan solusi audio yang terjangkau dengan fitur utama yang sesuai dengan namanya.

Headset kabel jenis ini umumnya digunakan sebagai perangkat audio serbaguna yang terhubung langsung ke ponsel, laptop, komputer, atau perangkat lain yang memiliki port audio 3.5mm. Kegunaan utamanya adalah untuk mendengarkan audio secara privat, baik untuk menikmati musik, menonton video, maupun melakukan panggilan suara. Kehadiran kabel membuatnya praktis karena tidak perlu diisi daya, sehingga siap digunakan kapan saja.

Manfaat utama dari produk ini adalah kemampuannya dalam memberikan pengalaman audio yang lebih imersif, terutama bagi Anda yang menyukai genre musik seperti pop, EDM, atau hip-hop. Dengan fokus pada extra bass, suara dentuman drum atau nada rendah lainnya akan terasa lebih bertenaga. Selain itu, desainnya yang ringan dan portabel membuatnya mudah dibawa ke mana saja, cocok untuk menemani perjalanan atau aktivitas santai di rumah.";"Produk : Headset Kabel Extra Bass (Generic)

Merek : Generic

Kondisi : Baru

Kategori : Aksesoris Audio / Headset

ISI PAKET

* 1 x Headset Kabel Extra Bass (Generic)

KEUNGGULAN

* Suara bass yang lebih kuat dan bertenaga untuk pengalaman mendengarkan yang lebih hidup
* Desain ringan dan ergonomis sehingga nyaman digunakan dalam waktu lama
* Koneksi kabel langsung, tidak perlu khawatir kehabisan baterai";;
6;7;Headset Kabel ME-A7 (Generic);HF JBL ME A7;3;;21000;18000;;ME-A7;;completed;;"Headset Kabel ME-A7 (Generic) merupakan perangkat audio kabel yang dirancang untuk menemani aktivitas mendengarkan musik, menonton video, atau melakukan panggilan suara sehari-hari. Dengan desain yang simpel dan fungsional, headset ini menjadi pilihan praktis bagi Anda yang membutuhkan perangkat audio dengan harga yang sangat terjangkau. Produk ini hadir sebagai solusi ekonomis tanpa mengesampingkan fungsi dasar yang diperlukan.

Headset kabel adalah perangkat audio yang terhubung langsung ke perangkat sumber seperti smartphone, laptop, atau tablet melalui jack audio 3.5mm. Fungsinya cukup beragam, mulai dari memutar musik, menikmati konten multimedia, hingga berkomunikasi melalui panggilan telepon atau aplikasi pesan. Kehadiran mikrofon pada headset ini memungkinkan Anda untuk melakukan panggilan dengan lebih leluasa tanpa harus memegang perangkat. Produk ini sangat cocok digunakan untuk aktivitas santai di rumah, di kantor, atau saat bepergian.

Menggunakan headset kabel memberikan kemudahan karena tidak perlu khawatir dengan daya baterai atau koneksi Bluetooth yang terputus. Cukup colokkan ke perangkat, Anda sudah siap menikmati audio kapan saja. Desainnya yang ringan dan portabel membuatnya mudah dibawa ke mana pun. Headset ini juga menjadi pilihan tepat bagi Anda yang ingin mencoba perangkat audio baru dengan investasi minimal.";"Produk : Headset Kabel ME-A7 (Generic)
Merek : Generic
Kondisi : Baru
Kategori : Aksesoris Audio

ISI PAKET

* 1 x Headset Kabel ME-A7 (Generic)

KEUNGGULAN

* Desain ringkas dan ringan untuk kenyamanan penggunaan sehari-hari
* Dilengkapi mikrofon untuk mendukung panggilan suara
* Koneksi kabel praktis tanpa perlu pengisian daya";;
7;7;Headset Kabel Music Angel;HF MUSIK ANGEL;3;;10000;8500;Music Angel;;;completed;;"Headset Kabel Music Angel adalah pilihan tepat untuk menemani aktivitas mendengarkan audio Anda sehari-hari. Dengan desain yang simpel dan fungsional, headset ini siap memberikan pengalaman audio yang jernih dan nyaman. Hadir dengan harga yang sangat terjangkau, produk ini cocok untuk Anda yang mencari solusi audio praktis tanpa menguras kantong.

Headset kabel merupakan perangkat audio yang terhubung langsung ke perangkat pemutar melalui jack audio 3.5mm. Produk ini sangat berguna untuk berbagai kegiatan, mulai dari mendengarkan musik, menonton video, bermain game, hingga melakukan panggilan telepon. Kehadiran kabel memastikan koneksi yang stabil dan bebas dari gangguan sinyal, sehingga suara yang dihasilkan tetap konsisten.

Menggunakan headset ini memberikan beberapa manfaat praktis. Anda dapat menikmati audio favorit dengan lebih fokus tanpa mengganggu orang di sekitar. Desainnya yang ringan dan portabel memudahkan Anda membawanya ke mana saja, baik saat bepergian, berolahraga ringan, atau bersantai di rumah. Dengan harga yang ekonomis, Anda mendapatkan perangkat audio fungsional yang siap menemani keseharian.";"Produk : Headset Kabel Music Angel
Merek : Music Angel
Kondisi : Baru
Kategori : Aksesoris Audio / Headset Kabel

ISI PAKET

* 1 x Headset Kabel Music Angel

KEUNGGULAN

* Suara jernih untuk pengalaman mendengarkan yang nyaman
* Desain ringan dan pas di telinga untuk pemakaian lama
* Kabel kokoh dengan konektor standar untuk kompatibilitas luas";;
8;7;Headset Kabel JB01 (Generic);HF PUREBASS JB 01;3;;13000;11000;;JB01;;completed;;"Headset Kabel JB01 (Generic) adalah perangkat audio yang dirancang untuk memberikan kemudahan dalam mendengarkan musik, podcast, atau menerima panggilan telepon. Dengan desain yang simpel dan fungsional, headset ini menjadi pilihan praktis untuk menemani aktivitas sehari-hari. Produk ini menawarkan solusi audio yang terjangkau tanpa mengabaikan kebutuhan dasar pengguna.

Headset kabel merupakan perangkat umum yang menghubungkan langsung ke perangkat melalui jack audio 3.5mm. Produk ini berguna untuk mendengarkan audio dari smartphone, tablet, laptop, atau komputer. Dengan menggunakan headset, Anda dapat menikmati suara dengan lebih privat, mengurangi gangguan dari lingkungan sekitar, dan tetap fokus pada konten yang didengarkan.

Menggunakan headset kabel memberikan kemudahan karena tidak memerlukan pengisian daya atau koneksi Bluetooth. Anda dapat langsung menggunakannya dengan mencolokkan ke perangkat yang kompatibel. Ini sangat membantu untuk komunikasi suara, seperti panggilan telepon atau meeting online, serta untuk menikmati hiburan audio tanpa khawatir baterai habis.";"Produk : Headset Kabel JB01 (Generic)

Merek : Generic

Kondisi : Baru

Kategori : Aksesoris Audio / Headset Kabel

ISI PAKET

* 1 x Headset Kabel JB01 (Generic)

KEUNGGULAN

* Desain kabel yang ringan dan mudah dibawa kemana saja
* Jack audio universal yang kompatibel dengan banyak perangkat
* Harga ekonomis untuk kebutuhan audio dasar sehari-hari";;
9;7;Headset Robot RE20;HF ROBOT RE20;3;;24000;21000;Robot;RE20;;completed;;"Headset Robot RE20 adalah perangkat audio yang dirancang untuk menemani aktivitas komunikasi dan hiburan Anda sehari-hari. Produk dari brand Robot ini menawarkan solusi sederhana untuk mendengarkan audio dengan nyaman. Dengan harga yang terjangkau, headset ini menjadi pilihan praktis bagi pengguna yang membutuhkan perangkat audio fungsional.

Headset merupakan perangkat yang menggabungkan speaker dan mikrofon dalam satu unit, memungkinkan pengguna untuk mendengarkan audio sekaligus berkomunikasi secara hands-free. Produk jenis ini sangat berguna untuk berbagai aktivitas seperti melakukan panggilan telepon, mengikuti kelas online, bermain game kasual, atau sekadar menikmati musik dan podcast. Keberadaan headset membantu menjaga privasi suara dan mengurangi gangguan suara sekitar bagi orang lain.

Menggunakan Headset Robot RE20 memberikan kemudahan dalam berkomunikasi tanpa harus memegang perangkat. Anda dapat dengan leluasa melakukan multitasking, seperti mengetik atau mengerjakan pekerjaan lain, sambil tetap terhubung dalam panggilan. Selain itu, headset ini membantu meningkatkan fokus dengan menyampaikan suara langsung ke telinga, sehingga Anda dapat mendengar dengan lebih jelas di lingkungan yang bising.";"Produk : Headset Robot RE20
Merek : Robot
Kondisi : Baru
Kategori : Aksesoris Audio

ISI PAKET

* 1 x Headset Robot RE20

KEUNGGULAN

* Desain ringan dan sederhana untuk kenyamanan pemakaian sehari-hari
* Dilengkapi mikrofon untuk kebutuhan komunikasi dasar
* Harga ekonomis yang sesuai untuk kebutuhan dasar audio";;
10;7;Headset Robot RE50;HF ROBOT RE50;3;;24000;21000;Robot;RE50;;completed;;"Headset Robot RE50 adalah perangkat audio yang dirancang untuk menemani aktivitas mendengarkan musik, bermain game, atau berkomunikasi secara daring. Dengan brand Robot yang sudah dikenal, produk ini menawarkan solusi audio yang praktis untuk penggunaan sehari-hari. Headset ini hadir sebagai pilihan tepat bagi Anda yang membutuhkan perangkat audio dengan fungsi dasar yang handal.

Headset atau耳机 merupakan perangkat yang berfungsi mengubah sinyal listrik menjadi suara yang dapat didengar langsung oleh telinga. Produk seperti Robot RE50 umumnya digunakan untuk mendengarkan musik dari ponsel, laptop, atau komputer, serta untuk melakukan panggilan suara atau video call. Kegunaan utamanya adalah memberikan pengalaman audio yang lebih privat dan fokus tanpa mengganggu orang di sekitar.

Dengan menggunakan Headset Robot RE50, Anda dapat menikmati suara yang lebih jelas saat menonton film atau bermain game tanpa khawatir mengganggu anggota keluarga lain. Produk ini juga membantu Anda berkomunikasi lebih baik saat rapat daring atau berbicara dengan teman melalui ponsel. Desainnya yang sederhana memudahkan Anda membawanya ke mana saja, baik di rumah, kantor, atau saat bepergian.";"Produk : Headset Robot RE50
Merek : Robot
Kondisi : Baru
Kategori : Headset & Earphone

ISI PAKET

* 1 x Headset Robot RE50

KEUNGGULAN

* Desain ringan dan nyaman digunakan untuk jangka waktu lama
* Koneksi kabel yang stabil tanpa khawatir gangguan sinyal atau baterai habis
* Mudah digunakan dengan berbagai perangkat seperti ponsel, laptop, dan komputer";;
11;7;Headset Type-C In-Ear (Generic);HF SAM AKG TYPE C;1;;40000;36000;;Type-C In-Ear;;completed;;"Headset Type-C In-Ear (Generic) ini merupakan solusi audio praktis untuk perangkat modern yang telah menggunakan port USB Type-C. Dengan desain in-ear yang ringkas, headset ini menawarkan kemudahan akses untuk mendengarkan audio tanpa perlu repot menggunakan adaptor tambahan. Produk ini hadir sebagai pilihan ekonomis bagi Anda yang membutuhkan headset fungsional untuk aktivitas sehari-hari.

Jenis headset ini dirancang khusus untuk perangkat yang tidak lagi memiliki jack audio 3.5mm, seperti banyak smartphone dan tablet terbaru. Dengan konektor Type-C, Anda dapat langsung menyambungkannya ke perangkat dan menikmati suara untuk berbagai keperluan, mulai dari mendengarkan musik, menonton video, hingga melakukan panggilan telepon. Desain in-ear membantu menyaring kebisingan sekitar sehingga Anda bisa lebih fokus pada audio yang sedang diputar.

Menggunakan headset ini memberikan kemudahan karena tidak memerlukan baterai atau pengisian daya, cukup colokkan dan langsung siap digunakan. Kabel yang fleksibel memudahkan penyimpanan dan penggunaan sehari-hari. Ini adalah aksesori praktis yang dapat melengkapi perangkat Anda tanpa mengeluarkan biaya besar.";"Produk : Headset Type-C In-Ear (Generic)
Merek : Generic
Kondisi : Baru
Kategori : Aksesoris Audio

ISI PAKET

* 1 x Headset Type-C In-Ear (Generic)

KEUNGGULAN

* Konektor Type-C universal yang kompatibel dengan banyak perangkat modern
* Desain in-ear ringan dan nyaman untuk penggunaan jangka panjang
* Kabel anti-kusut yang tahan lama dan mudah dibawa kemana-mana";;
